Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6a18e17b6ce93bc6c5e4b3ce,5cb5e6927a92c500015c0de1,APPROVED,Not Applicable,2026-05-29T00:49:06.536000Z,2026-05-29T00:50:51.745000Z,2026-05-29T19:48:58.135000Z,2026-05-29T00:50:52.087582Z,106.0,C1M8S19P,12069,English,English,45,Female,White,United States,United States,Norway,English,DATA_EXPIRED,DATA_EXPIRED
6a18e17e757080dab217b62b,6a0fa14c5b41a3ae00202b08,APPROVED,Not Applicable,2026-05-29T00:44:49.527000Z,2026-05-29T00:48:25.886000Z,2026-05-29T19:46:37.122000Z,2026-05-29T00:48:26.240471Z,217.0,C1M8S19P,20,English,English,21,Female,White,Canada,Canada,Canada,English,Yes,Due to start a new job within the next month
6a18e17f6d42777e01b821a1,60009ee6d7db7017e5bbadd1,APPROVED,Not Applicable,2026-05-29T00:44:52.420000Z,2026-05-29T00:46:47.437000Z,2026-05-29T19:47:13.305000Z,2026-05-29T00:46:47.765995Z,116.0,C1M8S19P,2707,English,English,29,Male,Mixed,New Zealand,New Zealand,New Zealand,English,No,Full-Time
6a18e17ff7c04a4b3e9c2763,67a7d4e19fee63cbe222ae02,APPROVED,Not Applicable,2026-05-29T00:51:27.562000Z,2026-05-29T00:56:16.150000Z,2026-05-29T19:49:03.749000Z,2026-05-29T00:56:16.526330Z,289.0,C1M8S19P,2760,English,"English, Spanish",23,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6a18e1808bcf7664e34574b3,5d537c0cecc84200153075e9,APPROVED,Not Applicable,2026-05-29T00:45:04.982000Z,2026-05-29T00:48:20.135000Z,2026-05-29T19:47:38.360000Z,2026-05-29T00:48:20.477459Z,196.0,C1M8S19P,16923,English,"Spanish, English",46,Female,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6a18e180a25ddb1241f90d9a,6a164661582f679fac316681,APPROVED,Not Applicable,2026-05-29T00:45:01.776000Z,2026-05-29T00:47:42.963000Z,2026-05-29T19:47:37.900000Z,2026-05-29T00:47:43.295154Z,162.0,C1M8S19P,12,English,English,19,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking)
6a18e181c6f51607d640716c,69f8f44c913001399d8c3d60,APPROVED,Not Applicable,2026-05-29T00:45:04.480000Z,2026-05-29T00:49:30.507000Z,2026-05-29T19:47:59.007000Z,2026-05-29T00:49:30.838465Z,267.0,C1M8S19P,205,English,English,24,Female,White,United States,United States,United States,English,No,Part-Time
6a18e181dc3c437eaf016d86,69b735362fb0d16084d1a68d,APPROVED,Not Applicable,2026-05-29T00:45:01.030000Z,2026-05-29T00:48:47.591000Z,2026-05-29T19:47:37.224000Z,2026-05-29T00:48:47.950999Z,227.0,C1M8S19P,542,English,English,38,Male,White,United States,United States,United States,English,No,Full-Time
6a18e1822fdedab532d72da5,663a7dc83986ee24fb6ec0e6,APPROVED,Not Applicable,2026-05-29T00:45:00.499000Z,2026-05-29T00:47:13.535000Z,2026-05-29T19:47:58.478000Z,2026-05-29T00:47:13.896346Z,134.0,C1M8S19P,10672,English,English,41,Male,Mixed,United States,United States,United States,English,No,Full-Time
6a18e182ce3d6d83b4976a94,69c1301bd2f8a8a76342436f,APPROVED,Not Applicable,2026-05-29T00:44:59.350000Z,2026-05-29T00:48:37.483000Z,2026-05-29T19:47:16.548000Z,2026-05-29T00:48:37.876610Z,219.0,C1M8S19P,354,English,English,27,Male,White,Canada,Canada,Canada,English,No,Part-Time
6a18e1834826405048bad5d3,69f095b706facc9cd1f2c5b7,APPROVED,Not Applicable,2026-05-29T00:44:58.107000Z,2026-05-29T00:49:42.639000Z,2026-05-29T19:47:15.220000Z,2026-05-29T00:49:43.020065Z,285.0,C1M8S19P,77,English,English,28,Female,Black,Nigeria,Canada,Canada,English,No,Full-Time
6a18e183a478924805056643,65146240be1506a477a3818e,APPROVED,Not Applicable,2026-05-29T00:44:55.468000Z,2026-05-29T00:46:51.308000Z,2026-05-29T19:46:39.446000Z,2026-05-29T00:46:51.647114Z,116.0,C1M8S19P,569,English,English,40,Male,White,Canada,Canada,Canada,English,No,Full-Time
6a18e184785b62f1722fbaab,665e956909ccfee1b9d2dfd2,APPROVED,Not Applicable,2026-05-29T00:44:57.966000Z,2026-05-29T00:47:34.286000Z,2026-05-29T19:47:35.403000Z,2026-05-29T00:47:34.612210Z,157.0,C1M8S19P,3718,"English, Korean","English, Korean",42,Male,Asian,Korea,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6a18e184d4c3edbb259bad65,65e8cf8f4c7424fa062e54a3,APPROVED,Not Applicable,2026-05-29T00:44:56.434000Z,2026-05-29T00:48:23.897000Z,2026-05-29T19:47:14.478000Z,2026-05-29T00:48:24.304732Z,208.0,C1M8S19P,5179,English,English,32,Female,White,United States,United States,United States,English,DATA_EXPIRED,Part-Time
6a18e184f034478f84db64ae,5c1942e200849900010afdcd,APPROVED,Not Applicable,2026-05-29T00:44:54.482000Z,2026-05-29T00:46:41.735000Z,2026-05-29T19:47:13.873000Z,2026-05-29T00:46:42.060950Z,108.0,C1M8S19P,8627,English,English,27,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6a18e1854ae1cd6ae911cbd4,67b60f63759e4a2a6d5cd14e,APPROVED,Not Applicable,2026-05-29T00:44:53.920000Z,2026-05-29T00:47:59.602000Z,2026-05-29T19:46:38.351000Z,2026-05-29T00:47:59.947005Z,186.0,C1M8S19P,2368,English,English,70,Male,White,Canada,Canada,Canada,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6a18e185853cd9238192ce6b,5e63e793e50a6316a75213c4,APPROVED,Not Applicable,2026-05-29T00:44:56.181000Z,2026-05-29T00:49:02.236000Z,2026-05-29T19:47:34.544000Z,2026-05-29T00:49:02.582511Z,247.0,C1M8S19P,4732,English,English,36,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6a18e185a15905ffa1e5d828,6a082bce62ec4f51e9e979fc,APPROVED,Not Applicable,2026-05-29T00:45:22.474000Z,2026-05-29T00:50:49.765000Z,2026-05-29T19:48:01.198000Z,2026-05-29T00:50:50.094853Z,328.0,C1M8S19P,16,English,English,26,Male,White,Canada,Canada,Canada,English,No,Part-Time
6a18e18694dab75ecb8b66b1,6a08cbfafd1950ac6e92a7b4,APPROVED,Not Applicable,2026-05-29T00:44:58.782000Z,2026-05-29T00:48:12.200000Z,2026-05-29T19:47:16.017000Z,2026-05-29T00:48:12.574096Z,194.0,C1M8S19P,19,English,English,27,Female,White,Canada,Canada,Canada,English,No,Other
6a18e1869c9164bd6086dcdd,69419ffdfdfb97e0bf9cca18,APPROVED,Not Applicable,2026-05-29T00:44:58.199000Z,2026-05-29T00:46:50.474000Z,2026-05-29T19:47:57.968000Z,2026-05-29T00:46:50.864783Z,113.0,C1M8S19P,750,English,English,31,Male,Asian,United States,United States,United States,English,No,Unemployed (and job seeking)
6a18e186bbedfacce6f46443,6a04656102bf0cf60e9b2c58,APPROVED,Not Applicable,2026-05-29T00:44:56.953000Z,2026-05-29T00:48:11.865000Z,2026-05-29T19:46:41.003000Z,2026-05-29T00:48:12.204196Z,195.0,C1M8S19P,215,English,English,27,Male,Asian,United States,United States,China,English,No,Unemployed (and job seeking)
6a18e1875db829dd0e59b4f7,657f5cb338e31904b66cd970,APPROVED,Not Applicable,2026-05-29T00:44:59.238000Z,2026-05-29T00:48:32.743000Z,2026-05-29T19:47:36.067000Z,2026-05-29T00:48:33.102171Z,214.0,C1M8S19P,7952,English,English,48,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6a18e187911fae42b8e65cfb,5f31371991595a5ebca006cb,APPROVED,Not Applicable,2026-05-29T00:44:59.948000Z,2026-05-29T00:47:56.506000Z,2026-05-29T19:47:17.027000Z,2026-05-29T00:47:56.889781Z,177.0,C1M8S19P,4552,English,English,50,Female,White,United States,United States,United States,English,No,Full-Time
6a18e187df1afc61f2648e33,6a0102a61a9cddc2b509e682,APPROVED,Not Applicable,2026-05-29T00:44:59.409000Z,2026-05-29T00:48:44.063000Z,2026-05-29T19:48:21.677000Z,2026-05-29T00:48:44.412235Z,225.0,C1M8S19P,228,English,English,27,Male,White,United States,United States,United States,English,No,Part-Time
6a18e188757080dab217b62d,5e39d872793a082024d9cf18,APPROVED,Not Applicable,2026-05-29T00:45:00.648000Z,2026-05-29T00:48:42.518000Z,2026-05-29T19:47:18.124000Z,2026-05-29T00:48:42.841409Z,222.0,C1M8S19P,13790,English,English,45,Male,White,United States,United States,United States,English,Yes,Full-Time
6a18e189137902acc3b4e4d1,69ee2c0e9772a221d8e8b945,APPROVED,Not Applicable,2026-05-29T00:45:00.482000Z,2026-05-29T00:47:23.538000Z,2026-05-29T19:47:17.622000Z,2026-05-29T00:47:23.919968Z,144.0,C1M8S19P,561,English,English,27,Female,White,United States,United States,United States,English,Yes,Full-Time
6a18e1895f520b6993f1c254,66465999853f99e3f05d5b3a,APPROVED,Not Applicable,2026-05-29T00:45:00.121000Z,2026-05-29T00:47:35.871000Z,2026-05-29T19:47:36.586000Z,2026-05-29T00:47:36.198208Z,156.0,C1M8S19P,5632,English,English,31,Prefer not to say,White,United States,United States,United States,English,No,Full-Time
6a18e18a785b62f1722fbaae,69e6477cd3e05ddf429da7cd,RETURNED,Not Applicable,2026-05-29T00:45:02.098000Z,,,2026-06-02T23:53:04.700340Z,,,353,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6a18e18b41af5e71d692b5ee,6a0e96386d642c719c99fc47,APPROVED,Not Applicable,2026-05-29T00:47:45.913000Z,2026-05-29T00:50:46.313000Z,2026-05-29T19:48:54.255000Z,2026-05-29T00:50:46.707034Z,181.0,C1M8S19P,27,English,English,19,Male,Asian,Australia,Australia,China,English,Yes,Other
